description,unit,rate,Unnamed: 3
"['Supply of Desh Fastner(08 Nos each doors)
Supply of Power Coated Door galvanized steel Flush Fire doors two hours fire rating and tested in accordance with IS 3614 Part 2, & BS 476 Part 22: 120 minutes Integrity, 120 minutes Stability & 20 minutes Insulation tested by HR Govt. Door frames to be single rebate profile of 100 x 57 mm manufactured from 16 gauge galvanized steel, profile to have bending radius of 1.4 mm supplied in assembled form ready to install at site Door Shutter in 46 mm thick manufactured from two 18 gauge galvanized steel sheets lock seam jointed at stile edges to form a double skin fully flush shell. Infill rock wool 96kg/m3 density or  honey comb insulation material to be provided for structural rigidity & additional reinforcements & sound Insulation for all hardware fixtures as required. Make Om Shakti']",Nos,58.5,
"['Supply of Door Closer - Dorma XLC 1106 
Supply of Power Coated Door galvanized steel Flush Fire doors two hours fire rating and tested in accordance with IS 3614 Part 2, & BS 476 Part 22: 120 minutes Integrity, 120 minutes Stability & 20 minutes Insulation tested by HR Govt. Door frames to be single rebate profile of 100 x 57 mm manufactured from 16 gauge galvanized steel, profile to have bending radius of 1.4 mm supplied in assembled form ready to install at site Door Shutter in 46 mm thick manufactured from two 18 gauge galvanized steel sheets lock seam jointed at stile edges to form a double skin fully flush shell. Infill rock wool 96kg/m3 density or  honey comb insulation material to be provided for structural rigidity & additional reinforcements & sound Insulation for all hardware fixtures as required. Make Om Shakti']",Nos,11440.0,
"['Supply of 6mm Thick Fire Rated Clear Vision Panel Size - 200 x 300 mm - Pyran
Supply of Power Coated Door galvanized steel Flush Fire doors two hours fire rating and tested in accordance with IS 3614 Part 2, & BS 476 Part 22: 120 minutes Integrity, 120 minutes Stability & 20 minutes Insulation tested by HR Govt. Door frames to be single rebate profile of 100 x 57 mm manufactured from 16 gauge galvanized steel, profile to have bending radius of 1.4 mm supplied in assembled form ready to install at site Door Shutter in 46 mm thick manufactured from two 18 gauge galvanized steel sheets lock seam jointed at stile edges to form a double skin fully flush shell. Infill rock wool 96kg/m3 density or  honey comb insulation material to be provided for structural rigidity & additional reinforcements & sound Insulation for all hardware fixtures as required. Make Om Shakti']",Nos,2470.0,
"['Instalation Charges for IMT Manesar Gurgaon
Supply of Power Coated Door galvanized steel Flush Fire doors two hours fire rating and tested in accordance with IS 3614 Part 2, & BS 476 Part 22: 120 minutes Integrity, 120 minutes Stability & 20 minutes Insulation tested by HR Govt. Door frames to be single rebate profile of 100 x 57 mm manufactured from 16 gauge galvanized steel, profile to have bending radius of 1.4 mm supplied in assembled form ready to install at site Door Shutter in 46 mm thick manufactured from two 18 gauge galvanized steel sheets lock seam jointed at stile edges to form a double skin fully flush shell. Infill rock wool 96kg/m3 density or  honey comb insulation material to be provided for structural rigidity & additional reinforcements & sound Insulation for all hardware fixtures as required. Make Om Shakti']",Nos,3640.0,
"['Freight for Manesar Gurgaon
Supply of Power Coated Door galvanized steel Flush Fire doors two hours fire rating and tested in accordance with IS 3614 Part 2, & BS 476 Part 22: 120 minutes Integrity, 120 minutes Stability & 20 minutes Insulation tested by HR Govt. Door frames to be single rebate profile of 100 x 57 mm manufactured from 16 gauge galvanized steel, profile to have bending radius of 1.4 mm supplied in assembled form ready to install at site Door Shutter in 46 mm thick manufactured from two 18 gauge galvanized steel sheets lock seam jointed at stile edges to form a double skin fully flush shell. Infill rock wool 96kg/m3 density or  honey comb insulation material to be provided for structural rigidity & additional reinforcements & sound Insulation for all hardware fixtures as required. Make Om Shakti']",Nos,4550.0,
"['Doors of size 3'-0"" x 7'-0""
40mm teak ply shutter sliding doors finished in laminate as approved fixed on channels at top and bottom provided with all necessary hardware and fittings as approved by the architect']",Nos.,50000.0,
"['Doors of size 6'-0"" x 7'-0""
40mm teak ply shutter sliding doors finished in laminate as approved fixed on channels at top and bottom provided with all necessary hardware and fittings as approved by the architect']",Nos.,80000.0,
"['Doors of size (900mm x 2100mm)
Supply & Installation of single Leaf glazed shutter 12mm thick Toughened glass with DORMA/Ozone Hardware like Top Patch+SS cover, Bottom Patch+SS cover, Top Pivot, Bottom lock +SS cover, Floor spring , 'H' Type Pull Handle 450mm long X 25mm dia and half moon door stopper etc., complete. ']",Nos.,25473.63,
"['Doors of size (1200 mm x 2100mm) 
Supply & Installation of single Leaf glazed shutter 12mm thick Toughened glass with DORMA/Ozone Hardware like Top Patch+SS cover, Bottom Patch+SS cover, Top Pivot, Bottom lock +SS cover, Floor spring , 'H' Type Pull Handle 450mm long X 25mm dia and half moon door stopper etc., complete. ']",Nos.,27635.79,
"['Doors of size (900mm x 2100mm)
Supply & Installation of Modular  Aluminium Single door frame of 45mm System with 60*35mm Stile door shutter with door jamb and acoustic rubber gaskit as per specification for Glass Door along with 10mm thick Toughened glass 
Finish -Aluminium Anodized ']",Nos.,45000.0,
"['Doors of size (1200 mm x 2100mm) 
Supply & Installation of Modular  Aluminium Single door frame of 45mm System with 60*35mm Stile door shutter with door jamb and acoustic rubber gaskit as per specification for Glass Door along with 10mm thick Toughened glass 
Finish -Aluminium Anodized ']",Nos.,49000.0,
"['Doors of size (900mm x 2100mm)
Supply & Installation of Modular  Aluminium Single door frame of 45mm Systym with 60*35mm Stile door shutter with door jamb and acoustic rubber gaskit as per specification for Glass Door along with 10mm thick Toughened glass 
Finish: Black powdercoated']",Nos.,49000.0,
"['Doors of size (1200 mm x 2100mm)  
Supply & Installation of Modular  Aluminium Single door frame of 45mm Systym with 60*35mm Stile door shutter with door jamb and acoustic rubber gaskit as per specification for Glass Door along with 10mm thick Toughened glass 
Finish: Black powdercoated']",Nos.,54000.0,
"['EXTRUDED ALUMINIUM SECTION DOOR 1050 X 2400MM
Single framed glazed EXTRUDED ALUMINIUM SECTION Door in Black Anodized coloured 60mm system on all four sides using ALN 60.01 in vertical, and ALN 60.02+ALN 60.03N in top of the door with 10mm thick tempered glass glazing shutter with glazing, 3 side beading ALKOM system aluminium horizontal member 45x45mm including ALN 35.08 door jamb, seal 3/B or G acoustic door seal & Hinges H.02, All as per approved design & Drawing. The rate include the cost of Single Leaf glazed Door of 8mm Toughened glass with Hafele. Hardware like Exposed Door closer with Hold Open, Narrow stile mortize lock with 35mm backset & lever handle with Oval roses, 70mm EPC with both side key & Drop Down Seal & Half moon door stopper etc.,complete. Make: Alloy/ALKOM']",Nos.,65000.0,
['EXTRUDED ALUMINIUM SECTIONALLOY DOOR 900 X 2400MM'],Nos.,60000.0,
['EXTRUDED ALUMINIUM SECTION DOOR 750 X 2400MM'],Nos.,55000.0,
['EXTRUDED ALUMINIUM SECTION DOOR 1200 X 2400MM'],Nos.,70000.0,
['DBL. EXTRUDED ALUMINIUM SECTION DOOR 2000 X 2400MM (600 mm offset pull handel with deadlock '],Nos.,130000.0,
"['Doors of size (750mm x 2100mm)
Supply and installation of flush door.  35mm thick. Flush door will be both side 1mm thick laminated and 4mm thick sagwan polished margin fix on all edges. Hinges, Mortise lock, Door closer, back rubber, stoper etc. included']",Nos.,16786.9,
"['Doors of size (900mm x 2100mm
Supply and installation of flush door.  35mm thick. Flush door will be both side 1mm thick laminated and 4mm thick sagwan polished margin fix on all edges. Hinges, Mortise lock, Door closer, back rubber, stoper etc. included']",Nos.,19143.8,
"['Door frame with single rebate: 
Supply and installation of Door frame.  Section size will be 150x75mm. Single rebate,2nd class teak wood, natural polished. Cover moulding out side size of 30mm width 8mm thick. The door frame will be install by using of 10-12mm thick das fastners.']",Rft,781.3,
"['Size of window ÃÂ 4'-0"" x 4'-0""
Providing & fixing window frame 75mm x 50mm of steam beach wood with partly glazed window shutter 45mm with 4mm veneer paneling match with steam beach color complete with all fitting handle, stopper, buffer, closer polishing etc. ']",Sqft,1066.0,
"['Size of window ÃÂ 5'-0"" x 4'-
Providing & fixing window frame 75mm x 50mm of steam beach wood with partly glazed window shutter 45mm with 4mm veneer paneling match with steam beach color complete with all fitting handle, stopper, buffer, closer polishing etc.""  ']",Sqft,1101.1,
"['Window with fixed aluminium frame. Section 40x40mm. Black Powdercoated. 12mm thick toughened glass.
Providing & fixing window frame 75mm x 50mm of steam beach wood with partly glazed window shutter 45mm with 4mm veneer paneling match with steam beach color complete with all fitting handle, stopper, buffer, closer polishing etc. ']",Sqft,650.0,
"['FIXED GLASS WINDOW SYSTEM
6mm + 12mm (air gap) + 6mm clear toughened DGU (Double 
Glass Unit) fixed in 45mm x 50mm Black Powdercoated / anodised black aluminium section.']",Sqft,812.5,
"['Automatic Door  (Dorma ES 200 easy): 
Providing & fixing 12mm thk sliding glass door of size 1500*2100 with auto sensor mechanism complete with all accessories.']",Nos.,180000.0,
"['Casement Aluminium door: 
Supply and installation of aluminium door with 6mm thick toughened glass, Section will be powder coated. With complete hardware. Door will be operate by hinge. (One side open able), The section size will be 75x45']",Sqft,520.0,
"['Sliding Aluminium door: 
Supply and installation of aluminium door with 6mm thick toughened glass, Section will be powder coated. With complete hardware. Door will be operate by hinge. (One side open able), The section size will be 75x45']",Sqft,780.0,
"['Casement uPVC door: 
Supply and installation of uPVC door with 6mm thick toughened glass and wooden panel both. Section will be powder coated. With complete hardware. Door will be operate by hinge. (One side open able), The section size will be 75x45']",Sqft,1690.0,
"['Sliding uPVC door: 
Supply and installation of uPVC door with 6mm thick toughened glass and wooden panel both. Section will be powder coated. With complete hardware. Door will be operate by hinge. (One side open able), The section size will be 75x45']",Sqft,1950.0,
"['Roller Blinds base rate Rs. 150/Sqft
Providing and  Fixing of Aluminium Frame with Single Sliding Jaali Window. (Folding Mesh)']",Sqft,195.0,
"['Mineral Fiber Ceiling : 
Providing and Fixing mineral fiber ceiling consisting of tiles and grids as follows.:
Armstrong Fine Fissured or equivalent, 600 x 600 mm nominal size range or equivalent with straight edge. .
Ceiling grid to be of hot dip galvanized steel system, power coated white finish, including main runners, cross tees and wall angles. Profile to be used is micro look, 15 mm wide.
Main runners to be spaced at 1200mm centers, fixed to soffit by approved hangers at 1200 mm distance. First and last hangers should not be at a distance of more than 450 mm from the adjacent wall. 600 x 600 mm module to be formed by fixing 600 mm cross tee between center of 1200 mm cross tees. ']",Sqft ,156.0,
"['Acoustic tile Ceiling : 
 Providing and Fixing Acoustic tile ceiling consisting of tiles and grids as follows.:
 Armstrong Fine Fissured or equivalent, 600 x 600 mm nominal size range or equivalent with straight edge. .
 Ceiling grid to be of hot dip galvanized steel system, power coated white finish, including main runners, cross tees and wall angles. Profile to be used is micro look, 15 mm wide.
 Main runners to be spaced at 1200mm centers, fixed to soffit by approved hangers at 1200 mm distance. First and last hangers should not be at a distance of more than 450 mm from the adjacent wall. 600 x 600 mm module to be formed by fixing 600 mm cross tee between center of 1200 mm cross tees.']",Sqft ,286.0,
"['Metal Grid Ceiling : 
The drop ceiling shall be provided with Armstrong Lay in (Hot dipped galvanized steel) metal ceiling system 600 x 600 x 5 mm with standard 2.5 mm dia (16% open space) and fleece with NRC of 70 & CAC 36 to be laid on grid system. The modular ceiling sheets with necessary fittings should be done up aesthetically to integrate with the lighting (details given under the head ÃÂlightingÃÂ).']",Sqft ,520.0,
"['Gypsum Ceiling : 
Plain Gypsum acoustic false ceiling with 12.5mm thick of GYPSUM board, fixed to the underside of suspended grid formed of GI perimeter channels. fixed along the wall by using wood screws and metal expansion raw plugs. Overall look of the ceiling shall be technical. The design and selection of material will depend on the overall aesthetics and acoustic requirements.']",Sqft ,143.0,
"['Gypsum Cove  : 
Plain Gypsum acoustic false ceiling with 12.5mm thick of GYPSUM board, fixed to the underside of suspended grid formed of GI perimeter channels. fixed along the wall by using wood screws and metal expansion raw plugs. Overall look of the ceiling shall be technical. The design and selection of material will depend on the overall aesthetics and acoustic requirements.']",Rft,117.0,
"['Wooden ceiling with laminate finish : 
Supply and installation of wooden false ceiling with using of 2x2 wooden batton, framing of 2'x2', 8mm thick commercial ply, fevicols, nails. With 10-12mm fastners for roof hanging arrangement. 1mm thick laminate install as per design pattern. Cutting and finishing of lights provisions etc.']",Sqft ,379.6,
"['Wooden ceiling with veneer finish : 
Supply and installation of wooden false ceiling with using of 2x2 wooden batton, framing of 2'x2', 8mm thick commercial ply, fevicols, nails. With 10-12mm fastners for roof hanging arrangement. 3mm thick veneer install as per design pattern. Melemine polishing on exposed veneer surfaces. Cutting and finishing of lights provisions etc.']",Sqft ,646.1,
"['Baffle ceiling : Supply of baffle ceiling, make Aluminum 0.65 Steel make 
 TCT 100x50x100mm Baffle Panels with powder
 coated on visible surface with 75mm Clear Gap 
 between two panels with supporting structure Black 
 coil coated False Ceiling system. 
ÃÂ¥ Galvanised steel 0.60mm TCT U shape carrier 
 ÃÂ¥ Galvanised steel 4 mm dia. rod for supporting.
 ÃÂ¥ Sp. Steel big clip for levelling.
 ÃÂ¥ End Cap']",Sqft ,455.0,
"['Baffled ceiling : Supply of make Galvanized steel 0.50 Steel  make TCT 100x50x100mm Baffle Panels with 
 powder coated on visible surface with 75mm Clear Gap between two panels with supporting structure 
 Black coil coated False Ceiling system ÃÂ¥ Galvanised steel 0.60mm TCT U shape carrier 
 ÃÂ¥ Galvanised steel 4 mm dia. rod for supporting.
 ÃÂ¥ Sp. Steel big clip for levelling.
 ÃÂ¥ End Cap']",Sqft ,416.0,
"['POP ceiling :
ÃÂ¥ Frame work made with G I section at 600mm center to center supported & suspended with M S flat 25 x 4 from existing RCC slab & beams. 
ÃÂ¥ Fix jali frame with 20mm long drive AL screw at spacing 300 mm center to center, Then Add  POP (plaster of Paris). including provision and cut-outs for electrical fitting & fixture,  complete in all respect.']",Sqft ,156.0,
"['POP Cove :                                                                                                             
ÃÂ¥  Frame work made with G I section at 600mm center to center supported & suspended with M S flat 25 x 4 from existing RCC slab & beams. 
ÃÂ¥ Fix jali frame with 20mm long drive AL screw at spacing 300 mm center to center, Then Add  POP (plaster of Paris). including provision and cut-outs for electrical fitting & fixture,  complete in all respect']",Rft,156.0,
"['WC:
KUS-WHT-35953BIUFSM
Rimless, Blind Installation Wall Hung 
WC with UF soft close slim seat cover, 
Hinges, Accessories set, Size : 
360x500x335 MM 
file:///D:/USER%20DATA/Downloads/KUS-WHT-35953BIUFSM.pdf']",Nos.,12617.8,
"['Connector Gasket for wall hung
JAY-CG-4*6']",Nos.,526.5,
"['Rack Bolt: WC fitting
Supply of wc fastner/bracket LN Key fastner 
SS Rag volt WC']",Nos.,663.0,
"['CONCALED CISTERN:
JCS-WHT-2400S
Single Piece Slim Concealed Cistern 
Body with Installations Kit & ÃÂS-TypeÃÂ
drain pipe connection set for 
Wall Hung WC (without Flush,Control Plate)']",No's,5517.2,
"['FLUSH PLATE / CONTROL PLATE:

Control Plate Fusion ']",No's,1548.3,
"['Stop cock: 
EXPOSED PART KIT OF CONCEALED STOP COCK & FLUSH COCK
FLR-CHR-5083NK']",Nos.,1365.0,
"['Urinals: 
URS-WHT-13253N
Urinal (Back Inlet) With Fixing 
Accessories, Size: 385x325x635 mm 
ALD-1041 Urinal Spreader Back Inlet 75mm Tail Slab Fixing
Sensor not included ']",Nos.,7475.0,
"['URINAL FLUSHING SENSOR: 
SNR-STL-51087
Sensor Concealed Type Flushing Valve
for Urinal Complete Set with Installation
Box with Control Cock (Battery Operated)']",Nos.,10855.0,
"['Two Way Bib Cock: 
LYR-CHR-38041
Two Way Bib Cock with Wall Flange']",Nos.,2033.2,
"['Two Way Bib Cock: 
ARI-CHR-39041
Two Way Bib Cock with Wall Flange']",Nos.,2033.2,
"['Wash basin Under counter: 
ACS-WHT-87701
Under Counter Basin With
Fixing Accessories, 
Size: 640x490x155 mm']",Nos.,5850.0,
"['Washbasin Table top: 
KUS-WHT-35935
Table Top Basin,
Size: 565x425x140 mm']",Nos.,9165.0,
"['Wash Basin Wall hung with Pedestal: 
LYS-WHT-38801 Wall Hung Basin with Fixing Accessories,
 Size: 590x490x185 mm  
LYS-WHT-38301 Full Pedestal For 38801']",Nos.,6110.0,
"['Wall Hung Bidet: 
KUS-WHT-35153 Wall Hung Bidet with Blind Installation , Size : 350x490x300 MM']",Nos.,12252.5,
"['Basin Tap sensor Faucet for Basin: Table top 
SNR-51001SQ Sensor Faucet for Wash Basin in Square Shape with Base Flange (Battery Operated)']",Nos,10010.0,
"['Basin Tap Faucet for Basin: Table top
 DRC-37021 Pillar Cock with 140mm Extension Body']",Nos,3445.0,
"['Basin Tap Faucet for Basin: Wall mounted 
VGP-81441K Exposed Part Kit of Single Concealed Stop Cock Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Basin Spout (Compatible with ALD-441)']",Nos,3705.0,
"['BOTTEL TRAP: 
ALD-CHR-769L 
Size: 300x190
Bottle Trap 32mm Size with 250mm &
190mm Long Wall Connection Pipes
& Wall Flange']",Nos.,1677.0,
"['Waste coupling: ALD-CHR-705
ALD-705L130
Waste Coupling 32mm Size Full Thread
with 130mm height']",Nos.,445.9,
"['Floor Trap:  
Supply of floor trap MAKE - Chilly Glossy Finish Round Cockroaches Trap, CCT-R101
Size: 5 Inches']",Nos.,847.6,
"['Angle valve:
ANGLE VALVE WITH WALL FLANGE - CHROME
OPP-CHR-15053PM']",Nos.,1027.0,
"['Health faucet: 
ALD-CHR-573
Hand Shower (Health Faucet) with 8mm Dia, 
1.2 Meter Long Flexible Tube & Wall Hook']",Nos.,1366.3,
"['Pressure Pump
Automatic ON and OFF Operation
Noiseless Operation & Low Power consumption
Float switch is provided for Dry Run Protection
CFMSMB Series ÃÂ  Make crompton']",Nos.,25350.0,
"['Looking mirror:
Supply and installation of FRAMED MIRROR mm 5 mm thick glass mirror with double coat for protection and longevity, decorative wooden frame and silver plating on the back for better reflection']",Sqft,845.0,
"['Looking mirror:
Supply and installation of 6mm thick looking mirror with studs']",Sqft,520.0,
"['Looking mirror:
LED light Mirror']",Sqft,715.0,
"['21/2"" diameter
Providing and fixing PVC pipe for soil, waste, vent and rain water pipe complete with fittings such as H.B. clamps, suspenders, hangers, dash fasteners, bolts and nuts, bends, junctions, offsets, branches, door pieces, tapers, terminal guards, pass over pipes, stay and clamps, plain and door fittings etc. including the joint filling as standard, cutting holes and chases in walls, floors and RCC slabs and roofs and repairing the holes and chassis with cement concrete 1:2:4 (1 Cement:2 Coarse Sand: 4 graded Stone Aggregate 20 mm nominal size) including finishing complete so as to make it leak proof. Make-Prince/sudhakar PVC/Equivalent']",Rmt,715.0,
"['3"" diameter
Providing and fixing PVC pipe for soil, waste, vent and rain water pipe complete with fittings such as H.B. clamps, suspenders, hangers, dash fasteners, bolts and nuts, bends, junctions, offsets, branches, door pieces, tapers, terminal guards, pass over pipes, stay and clamps, plain and door fittings etc. including the joint filling as standard, cutting holes and chases in walls, floors and RCC slabs and roofs and repairing the holes and chassis with cement concrete 1:2:4 (1 Cement:2 Coarse Sand: 4 graded Stone Aggregate 20 mm nominal size) including finishing complete so as to make it leak proof. Make-Prince/sudhakar PVC/Equivalent']",Rmt,780.0,
"['4""diameter
Providing and fixing PVC pipe for soil, waste, vent and rain water pipe complete with fittings such as H.B. clamps, suspenders, hangers, dash fasteners, bolts and nuts, bends, junctions, offsets, branches, door pieces, tapers, terminal guards, pass over pipes, stay and clamps, plain and door fittings etc. including the joint filling as standard, cutting holes and chases in walls, floors and RCC slabs and roofs and repairing the holes and chassis with cement concrete 1:2:4 (1 Cement:2 Coarse Sand: 4 graded Stone Aggregate 20 mm nominal size) including finishing complete so as to make it leak proof. Make-Prince/sudhakar PVC/Equivalent']",Rmt,884.0,
"['6"" diameter
Providing and fixing PVC pipe for soil, waste, vent and rain water pipe complete with fittings such as H.B. clamps, suspenders, hangers, dash fasteners, bolts and nuts, bends, junctions, offsets, branches, door pieces, tapers, terminal guards, pass over pipes, stay and clamps, plain and door fittings etc. including the joint filling as standard, cutting holes and chases in walls, floors and RCC slabs and roofs and repairing the holes and chassis with cement concrete 1:2:4 (1 Cement:2 Coarse Sand: 4 graded Stone Aggregate 20 mm nominal size) including finishing complete so as to make it leak proof. Make-Prince/sudhakar PVC/Equivalent']",Rmt,1105.0,
"[' 1""
Providing and fixing CPVC complete with finings such as elbows, Tees, flanges, plugs, caps, bolts, nuts, rubber insertions, long threads etc. including clamps, hangers, suspenders, dash fasteners, making joints between the pipes and pipes and fittings with hold tight, including cutting chases and holes in walls, slabs and floors and making good the same and finishing the same to make it leak proof, complete in all respects (internal and external work). Make: Ashirwad/Flow guard or equivalent']",Rmt,273.0,
"[' 3/4""
Providing and fixing CPVC complete with finings such as elbows, Tees, flanges, plugs, caps, bolts, nuts, rubber insertions, long threads etc. including clamps, hangers, suspenders, dash fasteners, making joints between the pipes and pipes and fittings with hold tight, including cutting chases and holes in walls, slabs and floors and making good the same and finishing the same to make it leak proof, complete in all respects (internal and external work). Make: Ashirwad/Flow guard or equivalent']",Rmt,214.5,
"['1/2""Providing and fixing CPVC complete with finings such as elbows, Tees, flanges, plugs, caps, bolts, nuts, rubber insertions, long threads etc. including clamps, hangers, suspenders, dash fasteners, making joints between the pipes and pipes and fittings with hold tight, including cutting chases and holes in walls, slabs and floors and making good the same and finishing the same to make it leak proof, complete in all respects (internal and external work). Make: Ashirwad/Flow guard or equivalent']",Rmt,188.5,
"[' 1 1/4ÃÂ
Providing and fixing CPVC complete with finings such as elbows, Tees, flanges, plugs, caps, bolts, nuts, rubber insertions, long threads etc. including clamps, hangers, suspenders, dash fasteners, making joints between the pipes and pipes and fittings with hold tight, including cutting chases and holes in walls, slabs and floors and making good the same and finishing the same to make it leak proof, complete in all respects (internal and external work). Make: Ashirwad/Flow guard or equivalent']",Rmt,327.6,
"[' 1 1/2''
Providing and fixing CPVC complete with finings such as elbows, Tees, flanges, plugs, caps, bolts, nuts, rubber insertions, long threads etc. including clamps, hangers, suspenders, dash fasteners, making joints between the pipes and pipes and fittings with hold tight, including cutting chases and holes in walls, slabs and floors and making good the same and finishing the same to make it leak proof, complete in all respects (internal and external work). Make: Ashirwad/Flow guard or equivalent']",Rmt,468.0,
"[' 15 mm dia 
Providing and fixing of nickel plated brass/ nonferrous alloy fullyway ball valve ( minimum working pressure of 20 bar ) with operating handle of approved make.( Note: Existing isolating valve shall be used for making connection with new pipework)']",Nos.,416.0,
"[' 20 mm dia
Providing and fixing of nickel plated brass/ nonferrous alloy fullyway ball valve ( minimum working pressure of 20 bar ) with operating handle of approved make.( Note: Existing isolating valve shall be used for making connection with new pipework)']",Nos.,565.5,
"[' 25 mm dia
Providing and fixing of nickel plated brass/ nonferrous alloy fullyway ball valve ( minimum working pressure of 20 bar ) with operating handle of approved make.( Note: Existing isolating valve shall be used for making connection with new pipework)']",Nos.,754.0,
"[' 32 mm dia
Providing and fixing of nickel plated brass/ nonferrous alloy fullyway ball valve ( minimum working pressure of 20 bar ) with operating handle of approved make.( Note: Existing isolating valve shall be used for making connection with new pipework)']",Nos.,1137.5,
"[' 40 mm dia
Providing and fixing of nickel plated brass/ nonferrous alloy fullyway ball valve ( minimum working pressure of 20 bar ) with operating handle of approved make.( Note: Existing isolating valve shall be used for making connection with new pipework)']",Nos.,2015.0,
"['Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,22400.0,
"['Installation cost WC
Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,6240.0,
"['Installation cost Washbasin
Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,5200.0,
"['Installation cost Urinal
Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,5200.0,
"['Installation cost Sink 
Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,5850.0,
"['Installation cost Geyser point
Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,3250.0,
"['Installation cost of Grating jali
Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,130.0,
"['Installation cost of Paper holderInstallation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,130.0,
"['Installation cost of soap dispenser
Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,130.0,
"['Installation cost of diverter shower
Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,5850.0,
"['Installation cost of RO point
Installation, testing, commissioning of all CP fitting and sanitary wares for each washroom']",No's,2600.0,
"['Chemical Earthing electrode: 
Supply and installation of Galvanized Iron (GI), Copper, Copper Bonded. Diameter: 40 mm. Length of Rod: 3 mtr.']",Nos.,9750.0,
"['Primary light point: 
Providing & fixing of light points for fixture with 2x2.5sqmm with using Havel/polycab wires from switch to lights fixture. Including switch plates and MS conduits with all fittings.      ']",Nos.,2600.0,
"['Secondary light point: 
Providing & fixing of secondary light points with using of 1.5sqmm wires with all fittings.']",Nos.,1950.0,
"['Primary power point 6 amp:
Providing and Fixing of  primary power point with installation (6 Amp socket -2 No & 6 Amp switch -2 No) on each work station. S/W & Socket. Wire make - Polycab. Cost to include 2 x 2.5 sqmm +1 x 1.5 sqmm wire. MS conduits with all fittings']",Nos.,2600.0,
"['Secondary power point 6 amp: 
Providing and Fixing of  secondary power point with installation (6 Amp socket -2 No & 6 Amp switch -2 No) on each work station. S/W & Socket. Wire make - Polycab. Cost to include 2 x 2.5 sqmm +1 x 1.5 sqmm wire.']",Nos.,1950.0,
"['Primary power point 16 amp:
Providing and Fixing of  primary power point with installation (16 Amp socket -1 No & 16 Amp switch -1 No). Wire make - Polycab. Cost include 2 x 4 sqmm + 1 x 1.5 sqmm wire with 3 module plate with junction box. ']",Nos.,3250.0,
"['Secondary power point 16 amp: 
Providing and Fixing of secondary power point with installation (16 Amp socket -1 No & 16 Amp switch -1 No). Wire make - Polycab. Cost include 2 x 4 sqmm + 1 x 1.5 sqmm wire with 3 module plate with junction box.  ']",Nos.,2860.0,
"['Distribution Board 6 way SPN:  
Supply and installation of distribution board for Raw power of Legrand or equivalent']",Nos.,2405.0,
"['Distribution Board 12 way TPN:  
Supply and installation of distribution board for Raw power of Legrand or equivalent']",Nos.,7150.0,
"['MCB: 
Supplying & fixing 5 amps to 32 amps single pole (rating 240 volts C series) Miniature Circuit Breaker suitable for lighting loads of following poles in the DB complete with connections, testing and commissioning etc. as required.']",Nos.,162.5,
"['MCCB:
Supplying & fixing following rating 415 volts C series, Four Pole Miniature Circuit Breaker 63A in the DB complete with connections, testing and commissioning etc. as required.']",Nos.,2405.0,
"['63A FP MCB:
Supplying & fixing following rating 415 volts C series, Four Pole Miniature Circuit Breaker in the DB complete with connections, testing and commissioning etc. as required.']",Nos.,2405.0,
"['Cable: 16 sq mm cable, Make- Havells/Polycab. Armored.']",Mtr,910.0,
"['Ceiling light:
Supply and installation of recess mounted  light fixture suitable for 32W LED 600mmx600mm Recessed Panel light(Cool white) Philips/Wipro make']",Nos.,2795.0,
"['Supply and installation of  Philips PureLine Slim Suspended 6500K 26000lm 1130mm Luminaire, SP780P LED26S-6500 PSU W5L113 OD WH
 ÃÂ¥ Size :  1130 W X 50 D']",Nos,12000.0,
"['Supply and installation of  Suspended-surface Mounted Luminaires Sp571x Led27s 6500 Psu W12l120 Od Si
   Size :  1200 W X 12 D
 ']",Nos,15000.0,
"['Supply and installation of  Suspended-surface Mounted Luminaires SP570X LED44S 6500 PSU W12L240 OC SI
  ÃÂ¥ Size :  2400 W X 120 D']",Nos,24000.0,
"['Supply and installation of Suspended 60mm/75mm width aluminium extruded linear lighting luminaires with superior white powder coated finish SP780 P LED52S-6500 PSU W6L224 OD SI
  ÃÂ¥ Size :  22400 W X 60 D']",Rmt,24000.0,
"['Supply and installation of Suspended 60mm/75mm width aluminium extruded linear lighting luminaires with superior white powder coated finish SP780 P LED26S-6500 PSU W6L112 OD SI
  ÃÂ¥ Size :  1120 W X 60 D']",Rmt,12000.0,
"['Supply and installation of Suspended 60mm/75mm width aluminium extruded linear lighting luminaires with superior white powder coated finish SP780P LED52S-6500 PSU W7L224 OD SI
  ÃÂ¥ Size :  2240 W X 70 D']",Rmt,25000.0,
